actualisation: forward -> 8	nouvelle position: (8 ; 0)
actualisation: down -> 9	nouvelle position: (8 ; 9)
actualisation: up -> 4	nouvelle position: (8 ; 5)
actualisation: down -> 8	nouvelle position: (8 ; 13)
actualisation: down -> 3	nouvelle position: (8 ; 16)
actualisation: down -> 3	nouvelle position: (8 ; 19)
actualisation: down -> 2	nouvelle position: (8 ; 21)
actualisation: forward -> 1	nouvelle position: (9 ; 21)
actualisation: forward -> 4	nouvelle position: (13 ; 21)
actualisation: down -> 5	nouvelle position: (13 ; 26)
actualisation: up -> 7	nouvelle position: (13 ; 19)
actualisation: forward -> 1	nouvelle position: (14 ; 19)
actualisation: down -> 1	nouvelle position: (14 ; 20)
actualisation: down -> 6	nouvelle position: (14 ; 26)
actualisation: down -> 9	nouvelle position: (14 ; 35)
actualisation: down -> 5	nouvelle position: (14 ; 40)
actualisation: forward -> 5	nouvelle position: (19 ; 40)
actualisation: forward -> 6	nouvelle position: (25 ; 40)
actualisation: forward -> 4	nouvelle position: (29 ; 40)
actualisation: down -> 2	nouvelle position: (29 ; 42)
actualisation: down -> 8	nouvelle position: (29 ; 50)
actualisation: forward -> 3	nouvelle position: (32 ; 50)
actualisation: down -> 5	nouvelle position: (32 ; 55)
actualisation: forward -> 6	nouvelle position: (38 ; 55)
actualisation: up -> 7	nouvelle position: (38 ; 48)
actualisation: up -> 2	nouvelle position: (38 ; 46)
actualisation: forward -> 2	nouvelle position: (40 ; 46)
actualisation: forward -> 4	nouvelle position: (44 ; 46)
actualisation: forward -> 1	nouvelle position: (45 ; 46)
actualisation: up -> 8	nouvelle position: (45 ; 38)
actualisation: up -> 9	nouvelle position: (45 ; 29)
actualisation: down -> 8	nouvelle position: (45 ; 37)
actualisation: up -> 8	nouvelle position: (45 ; 29)
actualisation: up -> 6	nouvelle position: (45 ; 23)
actualisation: up -> 2	nouvelle position: (45 ; 21)
actualisation: down -> 7	nouvelle position: (45 ; 28)
actualisation: up -> 3	nouvelle position: (45 ; 25)
actualisation: forward -> 8	nouvelle position: (53 ; 25)
actualisation: forward -> 5	nouvelle position: (58 ; 25)
actualisation: down -> 8	nouvelle position: (58 ; 33)
actualisation: down -> 8	nouvelle position: (58 ; 41)
actualisation: forward -> 5	nouvelle position: (63 ; 41)
actualisation: down -> 3	nouvelle position: (63 ; 44)
actualisation: down -> 4	nouvelle position: (63 ; 48)
actualisation: down -> 5	nouvelle position: (63 ; 53)
actualisation: down -> 2	nouvelle position: (63 ; 55)
actualisation: up -> 7	nouvelle position: (63 ; 48)
actualisation: down -> 1	nouvelle position: (63 ; 49)
actualisation: forward -> 9	nouvelle position: (72 ; 49)
actualisation: forward -> 9	nouvelle position: (81 ; 49)
actualisation: up -> 6	nouvelle position: (81 ; 43)
actualisation: down -> 5	nouvelle position: (81 ; 48)
actualisation: up -> 1	nouvelle position: (81 ; 47)
actualisation: down -> 8	nouvelle position: (81 ; 55)
actualisation: up -> 1	nouvelle position: (81 ; 54)
actualisation: forward -> 2	nouvelle position: (83 ; 54)
actualisation: down -> 4	nouvelle position: (83 ; 58)
actualisation: down -> 5	nouvelle position: (83 ; 63)
actualisation: down -> 2	nouvelle position: (83 ; 65)
actualisation: up -> 7	nouvelle position: (83 ; 58)
actualisation: forward -> 9	nouvelle position: (92 ; 58)
actualisation: up -> 8	nouvelle position: (92 ; 50)
actualisation: down -> 3	nouvelle position: (92 ; 53)
actualisation: up -> 6	nouvelle position: (92 ; 47)
actualisation: down -> 2	nouvelle position: (92 ; 49)
actualisation: up -> 2	nouvelle position: (92 ; 47)
actualisation: forward -> 3	nouvelle position: (95 ; 47)
actualisation: up -> 1	nouvelle position: (95 ; 46)
actualisation: up -> 1	nouvelle position: (95 ; 45)
actualisation: forward -> 9	nouvelle position: (104 ; 45)
actualisation: down -> 3	nouvelle position: (104 ; 48)
actualisation: down -> 5	nouvelle position: (104 ; 53)
actualisation: up -> 7	nouvelle position: (104 ; 46)
actualisation: down -> 1	nouvelle position: (104 ; 47)
